Base Postcode,Base Latitude,Base Longitude,Postcode,Latitude,Longitude
IP27 0NZ,52.437711,0.608543,IP1 1AA,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1AB,52.057578,1.152212
IP27 0NZ,52.437711,0.608543,IP1 1AD,52.05564,1.152367
IP27 0NZ,52.437711,0.608543,IP1 1AE,52.056259,1.151404
IP27 0NZ,52.437711,0.608543,IP1 1AF,52.054537,1.150874
IP27 0NZ,52.437711,0.608543,IP1 1AG,52.055081,1.153757
IP27 0NZ,52.437711,0.608543,IP1 1AH,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1AN,52.055031,1.152179
IP27 0NZ,52.437711,0.608543,IP1 1AP,52.055811,1.152364
IP27 0NZ,52.437711,0.608543,IP1 1AQ,52.058064,1.153107
IP27 0NZ,52.437711,0.608543,IP1 1AS,52.057472,1.152467
IP27 0NZ,52.437711,0.608543,IP1 1AW,52.052006,1.149339
IP27 0NZ,52.437711,0.608543,IP1 1AX,52.053255,1.150726
IP27 0NZ,52.437711,0.608543,IP1 1AY,52.0561,1.154311
IP27 0NZ,52.437711,0.608543,IP1 1AZ,52.056602,1.155061
IP27 0NZ,52.437711,0.608543,IP1 1BA,52.057265,1.153138
IP27 0NZ,52.437711,0.608543,IP1 1BB,52.057263,1.153225
IP27 0NZ,52.437711,0.608543,IP1 1BD,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1BE,52.057228,1.153399
IP27 0NZ,52.437711,0.608543,IP1 1BG,52.057034,1.154026
IP27 0NZ,52.437711,0.608543,IP1 1BH,52.057204,1.155074
IP27 0NZ,52.437711,0.608543,IP1 1BJ,52.057221,1.155674
IP27 0NZ,52.437711,0.608543,IP1 1BL,52.056641,1.153605
IP27 0NZ,52.437711,0.608543,IP1 1BN,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1BP,52.056991,1.154315
IP27 0NZ,52.437711,0.608543,IP1 1BQ,52.057231,1.154069
IP27 0NZ,52.437711,0.608543,IP1 1BS,52.056641,1.153605
IP27 0NZ,52.437711,0.608543,IP1 1BT,52.056932,1.155814
IP27 0NZ,52.437711,0.608543,IP1 1BU,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1BW,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1BX,52.057591,1.153293
IP27 0NZ,52.437711,0.608543,IP1 1BY,52.057373,1.153467
IP27 0NZ,52.437711,0.608543,IP1 1BZ,52.057554,1.1531
IP27 0NZ,52.437711,0.608543,IP1 1DA,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1DB,52.057694,1.152118
IP27 0NZ,52.437711,0.608543,IP1 1DD,52.058052,1.152187
IP27 0NZ,52.437711,0.608543,IP1 1DE,52.057617,1.150755
IP27 0NZ,52.437711,0.608543,IP1 1DF,52.058085,1.1534
IP27 0NZ,52.437711,0.608543,IP1 1DG,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1DH,52.057697,1.152468
IP27 0NZ,52.437711,0.608543,IP1 1DJ,52.057302,1.15476
IP27 0NZ,52.437711,0.608543,IP1 1DL,52.057379,1.154576
IP27 0NZ,52.437711,0.608543,IP1 1DN,52.057383,1.155787
IP27 0NZ,52.437711,0.608543,IP1 1DP,52.056552,1.155233
IP27 0NZ,52.437711,0.608543,IP1 1DQ,52.057544,1.151786
IP27 0NZ,52.437711,0.608543,IP1 1DR,52.056698,1.155739
IP27 0NZ,52.437711,0.608543,IP1 1DS,52.057053,1.153342
IP27 0NZ,52.437711,0.608543,IP1 1DT,52.056758,1.153919
IP27 0NZ,52.437711,0.608543,IP1 1DU,52.056758,1.153919
IP27 0NZ,52.437711,0.608543,IP1 1DW,52.056641,1.153605
IP27 0NZ,52.437711,0.608543,IP1 1DX,52.056758,1.153919
IP27 0NZ,52.437711,0.608543,IP1 1DY,52.056963,1.155028
IP27 0NZ,52.437711,0.608543,IP1 1DZ,52.056984,1.155248
IP27 0NZ,52.437711,0.608543,IP1 1EA,52.057516,1.153841
IP27 0NZ,52.437711,0.608543,IP1 1EB,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1ED,52.055125,1.149005
IP27 0NZ,52.437711,0.608543,IP1 1EE,52.057588,1.153745
IP27 0NZ,52.437711,0.608543,IP1 1EG,52.057293,1.152002
IP27 0NZ,52.437711,0.608543,IP1 1EJ,52.057693,1.151505
IP27 0NZ,52.437711,0.608543,IP1 1EL,52.057485,1.151651
IP27 0NZ,52.437711,0.608543,IP1 1EN,52.054815,1.153957
IP27 0NZ,52.437711,0.608543,IP1 1EP,52.057612,1.15058
IP27 0NZ,52.437711,0.608543,IP1 1EQ,52.057254,1.151882
IP27 0NZ,52.437711,0.608543,IP1 1ER,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1ES,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1ET,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1EU,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1EW,52.057084,1.151725
IP27 0NZ,52.437711,0.608543,IP1 1EX,52.0574,1.151032
IP27 0NZ,52.437711,0.608543,IP1 1EY,52.057139,1.151379
IP27 0NZ,52.437711,0.608543,IP1 1EZ,52.05689,1.151245
IP27 0NZ,52.437711,0.608543,IP1 1FG,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1HA,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1HB,52.057203,1.151076
IP27 0NZ,52.437711,0.608543,IP1 1HD,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1HE,52.057334,1.150794
IP27 0NZ,52.437711,0.608543,IP1 1HF,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1HG,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1HH,52.057837,1.150581
IP27 0NZ,52.437711,0.608543,IP1 1HJ,52.057954,1.150589
IP27 0NZ,52.437711,0.608543,IP1 1HL,52.057361,1.150883
IP27 0NZ,52.437711,0.608543,IP1 1HN,52.05665,1.15114
IP27 0NZ,52.437711,0.608543,IP1 1HP,52.057656,1.149299
IP27 0NZ,52.437711,0.608543,IP1 1HQ,52.058131,1.150602
IP27 0NZ,52.437711,0.608543,IP1 1HR,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1HS,52.058347,1.150676
IP27 0NZ,52.437711,0.608543,IP1 1HT,52.058023,1.150274
IP27 0NZ,52.437711,0.608543,IP1 1HU,52.057656,1.149299
IP27 0NZ,52.437711,0.608543,IP1 1HW,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1HX,52.057534,1.150137
IP27 0NZ,52.437711,0.608543,IP1 1HY,52.055712,1.152372
IP27 0NZ,52.437711,0.608543,IP1 1HZ,52.057269,1.150527
IP27 0NZ,52.437711,0.608543,IP1 1JA,52.056758,1.149236
IP27 0NZ,52.437711,0.608543,IP1 1JB,52.056758,1.149236
IP27 0NZ,52.437711,0.608543,IP1 1JD,52.054406,1.152411
IP27 0NZ,52.437711,0.608543,IP1 1JE,52.054406,1.152411
IP27 0NZ,52.437711,0.608543,IP1 1JF,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1JH,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1JJ,52.056758,1.149236
IP27 0NZ,52.437711,0.608543,IP1 1JL,52.054065,1.149046
IP27 0NZ,52.437711,0.608543,IP1 1JP,52.054026,1.150503
IP27 0NZ,52.437711,0.608543,IP1 1JQ,52.056594,1.150874
IP27 0NZ,52.437711,0.608543,IP1 1JR,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1JS,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1JT,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1JU,52.054962,1.14911
IP27 0NZ,52.437711,0.608543,IP1 1JX,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1JY,52.054065,1.149046
IP27 0NZ,52.437711,0.608543,IP1 1JZ,52.054065,1.149046
IP27 0NZ,52.437711,0.608543,IP1 1LA,52.054065,1.149046
IP27 0NZ,52.437711,0.608543,IP1 1LB,52.054026,1.150503
IP27 0NZ,52.437711,0.608543,IP1 1LD,52.054858,1.150649
IP27 0NZ,52.437711,0.608543,IP1 1LE,52.054026,1.150503
IP27 0NZ,52.437711,0.608543,IP1 1LF,52.054858,1.150649
IP27 0NZ,52.437711,0.608543,IP1 1LG,52.054726,1.150566
IP27 0NZ,52.437711,0.608543,IP1 1LH,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1LJ,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1LL,52.054406,1.152411
IP27 0NZ,52.437711,0.608543,IP1 1LN,52.054858,1.150649
IP27 0NZ,52.437711,0.608543,IP1 1LP,52.054865,1.148388
IP27 0NZ,52.437711,0.608543,IP1 1LQ,52.054858,1.150649
IP27 0NZ,52.437711,0.608543,IP1 1LR,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1LS,52.054833,1.15091
IP27 0NZ,52.437711,0.608543,IP1 1LT,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1LU,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1LW,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1LX,52.054865,1.148388
IP27 0NZ,52.437711,0.608543,IP1 1LY,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1NA,52.054849,1.150648
IP27 0NZ,52.437711,0.608543,IP1 1NB,52.054769,1.150628
IP27 0NZ,52.437711,0.608543,IP1 1ND,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1NE,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1NF,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1NY,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1NZ,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1PA,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PB,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1PD,52.056964,1.152606
IP27 0NZ,52.437711,0.608543,IP1 1PE,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PF,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PG,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PH,52.056663,1.152016
IP27 0NZ,52.437711,0.608543,IP1 1PJ,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1PL,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PN,52.057001,1.15258
IP27 0NZ,52.437711,0.608543,IP1 1PP,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1PQ,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1PS,52.056309,1.152137
IP27 0NZ,52.437711,0.608543,IP1 1PT,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1PU,52.056274,1.151435
IP27 0NZ,52.437711,0.608543,IP1 1PW,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1PX,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1PY,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1PZ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1QA,52.055477,1.148373
IP27 0NZ,52.437711,0.608543,IP1 1QB,52.053746,1.147171
IP27 0NZ,52.437711,0.608543,IP1 1QD,52.05564,1.152367
IP27 0NZ,52.437711,0.608543,IP1 1QE,52.054021,1.148913
IP27 0NZ,52.437711,0.608543,IP1 1QF,52.055811,1.152364
IP27 0NZ,52.437711,0.608543,IP1 1QG,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1QH,52.053333,1.146821
IP27 0NZ,52.437711,0.608543,IP1 1QJ,52.053517,1.146893
IP27 0NZ,52.437711,0.608543,IP1 1QL,52.052386,1.144552
IP27 0NZ,52.437711,0.608543,IP1 1QN,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1QP,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1QQ,52.05586,1.149173
IP27 0NZ,52.437711,0.608543,IP1 1QR,52.057007,1.152026
IP27 0NZ,52.437711,0.608543,IP1 1QS,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1QT,52.056821,1.151809
IP27 0NZ,52.437711,0.608543,IP1 1QU,52.056894,1.151435
IP27 0NZ,52.437711,0.608543,IP1 1QW,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1QX,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1QY,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1QZ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1RA,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1RB,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1RD,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1RE,52.054865,1.148388
IP27 0NZ,52.437711,0.608543,IP1 1RF,52.056719,1.150692
IP27 0NZ,52.437711,0.608543,IP1 1RG,52.054065,1.149046
IP27 0NZ,52.437711,0.608543,IP1 1RH,52.054389,1.148004
IP27 0NZ,52.437711,0.608543,IP1 1RJ,52.056138,1.150462
IP27 0NZ,52.437711,0.608543,IP1 1RL,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1RN,52.054919,1.148377
IP27 0NZ,52.437711,0.608543,IP1 1RP,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1RQ,52.056688,1.151507
IP27 0NZ,52.437711,0.608543,IP1 1RR,52.055491,1.148403
IP27 0NZ,52.437711,0.608543,IP1 1RS,52.053049,1.145897
IP27 0NZ,52.437711,0.608543,IP1 1RT,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1RU,52.055001,1.147653
IP27 0NZ,52.437711,0.608543,IP1 1RW,52.055811,1.152364
IP27 0NZ,52.437711,0.608543,IP1 1RX,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1RY,52.055405,1.148937
IP27 0NZ,52.437711,0.608543,IP1 1RZ,52.054104,1.14759
IP27 0NZ,52.437711,0.608543,IP1 1SA,52.052386,1.144552
IP27 0NZ,52.437711,0.608543,IP1 1SB,52.052355,1.145265
IP27 0NZ,52.437711,0.608543,IP1 1SD,52.052425,1.143096
IP27 0NZ,52.437711,0.608543,IP1 1SE,52.05651,1.151757
IP27 0NZ,52.437711,0.608543,IP1 1SF,52.054143,1.146134
IP27 0NZ,52.437711,0.608543,IP1 1SG,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1SH,52.056202,1.152772
IP27 0NZ,52.437711,0.608543,IP1 1SJ,52.055743,1.153541
IP27 0NZ,52.437711,0.608543,IP1 1SL,52.055895,1.15326
IP27 0NZ,52.437711,0.608543,IP1 1SN,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1SP,52.056819,1.153004
IP27 0NZ,52.437711,0.608543,IP1 1SQ,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1SR,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1SS,52.056505,1.152195
IP27 0NZ,52.437711,0.608543,IP1 1ST,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1SU,52.05668,1.152148
IP27 0NZ,52.437711,0.608543,IP1 1SW,52.056738,1.152912
IP27 0NZ,52.437711,0.608543,IP1 1SX,52.055811,1.152364
IP27 0NZ,52.437711,0.608543,IP1 1SY,52.055782,1.152085
IP27 0NZ,52.437711,0.608543,IP1 1SZ,52.055712,1.152372
IP27 0NZ,52.437711,0.608543,IP1 1TA,52.052638,1.146583
IP27 0NZ,52.437711,0.608543,IP1 1TB,52.055782,1.152085
IP27 0NZ,52.437711,0.608543,IP1 1TD,52.055648,1.151974
IP27 0NZ,52.437711,0.608543,IP1 1TF,52.055395,1.153444
IP27 0NZ,52.437711,0.608543,IP1 1TG,52.055863,1.152076
IP27 0NZ,52.437711,0.608543,IP1 1TH,52.055765,1.152711
IP27 0NZ,52.437711,0.608543,IP1 1TJ,52.055716,1.152446
IP27 0NZ,52.437711,0.608543,IP1 1TL,52.055782,1.152085
IP27 0NZ,52.437711,0.608543,IP1 1TP,52.054626,1.1525
IP27 0NZ,52.437711,0.608543,IP1 1TQ,52.05285,1.1467
IP27 0NZ,52.437711,0.608543,IP1 1TR,52.054559,1.150394
IP27 0NZ,52.437711,0.608543,IP1 1TS,52.055426,1.151958
IP27 0NZ,52.437711,0.608543,IP1 1TT,52.054831,1.152588
IP27 0NZ,52.437711,0.608543,IP1 1TU,52.055821,1.150629
IP27 0NZ,52.437711,0.608543,IP1 1TW,52.055078,1.152751
IP27 0NZ,52.437711,0.608543,IP1 1TX,52.055395,1.153444
