Base Postcode,Base Latitude,Base Longitude,Postcode,Latitude,Longitude
EX5 1EW,50.6996,-3.39139,BA21 3AA,50.946272,-2.63812
EX5 1EW,50.6996,-3.39139,BA21 3AB,50.946057,-2.647768
EX5 1EW,50.6996,-3.39139,BA21 3AD,50.945845,-2.638882
EX5 1EW,50.6996,-3.39139,BA21 3AE,50.945534,-2.641782
EX5 1EW,50.6996,-3.39139,BA21 3AF,50.945697,-2.642994
EX5 1EW,50.6996,-3.39139,BA21 3AG,50.946126,-2.640453
EX5 1EW,50.6996,-3.39139,BA21 3AH,50.944417,-2.662847
EX5 1EW,50.6996,-3.39139,BA21 3AJ,50.943846,-2.658825
EX5 1EW,50.6996,-3.39139,BA21 3AL,50.946947,-2.649445
EX5 1EW,50.6996,-3.39139,BA21 3AN,50.947168,-2.643698
EX5 1EW,50.6996,-3.39139,BA21 3AP,50.9464,-2.652327
EX5 1EW,50.6996,-3.39139,BA21 3AQ,50.946037,-2.643326
EX5 1EW,50.6996,-3.39139,BA21 3AR,50.948639,-2.663919
EX5 1EW,50.6996,-3.39139,BA21 3AS,50.943947,-2.666342
EX5 1EW,50.6996,-3.39139,BA21 3AT,50.943535,-2.659788
EX5 1EW,50.6996,-3.39139,BA21 3AU,50.946815,-2.644063
EX5 1EW,50.6996,-3.39139,BA21 3AW,50.947581,-2.643675
EX5 1EW,50.6996,-3.39139,BA21 3AX,50.946378,-2.645025
EX5 1EW,50.6996,-3.39139,BA21 3AY,50.94711,-2.645946
EX5 1EW,50.6996,-3.39139,BA21 3AZ,50.946982,-2.64472
EX5 1EW,50.6996,-3.39139,BA21 3BA,50.951832,-2.640872
EX5 1EW,50.6996,-3.39139,BA21 3BB,50.946716,-2.639065
EX5 1EW,50.6996,-3.39139,BA21 3BD,50.955262,-2.646657
EX5 1EW,50.6996,-3.39139,BA21 3BE,50.954315,-2.64391
EX5 1EW,50.6996,-3.39139,BA21 3BG,50.952068,-2.643836
EX5 1EW,50.6996,-3.39139,BA21 3BH,50.955234,-2.641958
EX5 1EW,50.6996,-3.39139,BA21 3BJ,50.950059,-2.641132
EX5 1EW,50.6996,-3.39139,BA21 3BL,50.95023,-2.639583
EX5 1EW,50.6996,-3.39139,BA21 3BN,50.952529,-2.643345
EX5 1EW,50.6996,-3.39139,BA21 3BP,50.952847,-2.647563
EX5 1EW,50.6996,-3.39139,BA21 3BQ,50.953535,-2.647189
EX5 1EW,50.6996,-3.39139,BA21 3BR,50.952098,-2.646456
EX5 1EW,50.6996,-3.39139,BA21 3BS,50.952125,-2.644848
EX5 1EW,50.6996,-3.39139,BA21 3BT,50.954259,-2.645917
EX5 1EW,50.6996,-3.39139,BA21 3BU,50.954749,-2.645198
EX5 1EW,50.6996,-3.39139,BA21 3BW,50.954038,-2.646939
EX5 1EW,50.6996,-3.39139,BA21 3BX,50.953005,-2.641757
EX5 1EW,50.6996,-3.39139,BA21 3BY,50.955133,-2.642712
EX5 1EW,50.6996,-3.39139,BA21 3BZ,50.957249,-2.643524
EX5 1EW,50.6996,-3.39139,BA21 3DA,50.947097,-2.646771
EX5 1EW,50.6996,-3.39139,BA21 3DB,50.94819,-2.647656
EX5 1EW,50.6996,-3.39139,BA21 3DD,50.949266,-2.648068
EX5 1EW,50.6996,-3.39139,BA21 3DE,50.950532,-2.648428
EX5 1EW,50.6996,-3.39139,BA21 3DF,50.949399,-2.646632
EX5 1EW,50.6996,-3.39139,BA21 3DG,50.94978,-2.649385
EX5 1EW,50.6996,-3.39139,BA21 3DH,50.950879,-2.663466
EX5 1EW,50.6996,-3.39139,BA21 3DJ,50.948409,-2.645594
EX5 1EW,50.6996,-3.39139,BA21 3DL,50.948248,-2.645079
EX5 1EW,50.6996,-3.39139,BA21 3DN,50.949655,-2.644358
EX5 1EW,50.6996,-3.39139,BA21 3DP,50.951696,-2.647632
EX5 1EW,50.6996,-3.39139,BA21 3DQ,50.950372,-2.649607
EX5 1EW,50.6996,-3.39139,BA21 3DR,50.954696,-2.641766
EX5 1EW,50.6996,-3.39139,BA21 3DS,50.951291,-2.639583
EX5 1EW,50.6996,-3.39139,BA21 3DT,50.952898,-2.64651
EX5 1EW,50.6996,-3.39139,BA21 3DU,50.954023,-2.651181
EX5 1EW,50.6996,-3.39139,BA21 3DW,50.950037,-2.645246
EX5 1EW,50.6996,-3.39139,BA21 3DX,50.951771,-2.648715
EX5 1EW,50.6996,-3.39139,BA21 3DY,50.952588,-2.648997
EX5 1EW,50.6996,-3.39139,BA21 3DZ,50.953972,-2.649102
EX5 1EW,50.6996,-3.39139,BA21 3EA,50.949641,-2.643689
EX5 1EW,50.6996,-3.39139,BA21 3EB,50.949573,-2.64124
EX5 1EW,50.6996,-3.39139,BA21 3ED,50.950642,-2.643133
EX5 1EW,50.6996,-3.39139,BA21 3EE,50.951295,-2.643669
EX5 1EW,50.6996,-3.39139,BA21 3EF,50.951626,-2.644115
EX5 1EW,50.6996,-3.39139,BA21 3EG,50.951269,-2.646829
EX5 1EW,50.6996,-3.39139,BA21 3EH,50.951263,-2.649562
EX5 1EW,50.6996,-3.39139,BA21 3EJ,50.950965,-2.649672
EX5 1EW,50.6996,-3.39139,BA21 3EL,50.951151,-2.651839
EX5 1EW,50.6996,-3.39139,BA21 3EN,50.950722,-2.652986
EX5 1EW,50.6996,-3.39139,BA21 3EP,50.950183,-2.651213
EX5 1EW,50.6996,-3.39139,BA21 3EQ,50.950928,-2.646583
EX5 1EW,50.6996,-3.39139,BA21 3ER,50.95124,-2.653634
EX5 1EW,50.6996,-3.39139,BA21 3ES,50.950946,-2.656292
EX5 1EW,50.6996,-3.39139,BA21 3ET,50.950441,-2.653324
EX5 1EW,50.6996,-3.39139,BA21 3EU,50.95045,-2.642063
EX5 1EW,50.6996,-3.39139,BA21 3EW,50.95084,-2.654725
EX5 1EW,50.6996,-3.39139,BA21 3EX,50.951753,-2.656744
EX5 1EW,50.6996,-3.39139,BA21 3EY,50.948145,-2.657135
EX5 1EW,50.6996,-3.39139,BA21 3EZ,50.948015,-2.656222
EX5 1EW,50.6996,-3.39139,BA21 3FA,50.941537,-2.639065
EX5 1EW,50.6996,-3.39139,BA21 3FB,50.941537,-2.639065
EX5 1EW,50.6996,-3.39139,BA21 3FD,50.946144,-2.638787
EX5 1EW,50.6996,-3.39139,BA21 3FE,50.954368,-2.653863
EX5 1EW,50.6996,-3.39139,BA21 3FF,50.956251,-2.669296
EX5 1EW,50.6996,-3.39139,BA21 3FG,50.950561,-2.65465
EX5 1EW,50.6996,-3.39139,BA21 3FH,50.949701,-2.657114
EX5 1EW,50.6996,-3.39139,BA21 3FJ,50.955316,-2.670834
EX5 1EW,50.6996,-3.39139,BA21 3FL,50.955363,-2.668913
